ID,Tweet,Sentiment,Time,Age,Country,Population -2020,Land Area (KmÂ²),Density (P/KmÂ²),Ground Truth
d1d7ed938d, great site photos fantastic useful visit pembroke inc skomer june,positive,morning,46-60,Egypt,102334404,995450,103,happiness
be0a927a80,_n  too want ooze speaking either why lame jokes wiping social media shoe lol,neutral,noon,60-70,Guinea-Bissau,1968001,28120,70,df
6b4eb2871c,thanks link ive voted  ill send too,positive,noon,21-30,Bulgaria,6948445,108560,64,df
9c503adc87,also liptons sparkling green tea gross,neutral,noon,21-30,Somalia,15893222,627340,25,disgust
3e1f7acd3c,know lender was yea people definitely sucked butt toes friendly helpful,negative,night,70-100,Monaco,39242,1,26337,anger
c818fdf4b8,sun turned blancmange sucks pale,negative,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67,sadness
b01c96b216, you,neutral,noon,21-30,Paraguay,7132538,397300,18,df
c5a47367cc,come join fun first pitch legends game may th   pm ,neutral,morning,0-20,Timor-Leste,1318445,14870,89,happiness
a16aa7fcc4,happy mothers day gr day,positive,morning,0-20,Haiti,11402528,27560,414,happiness
553beefa8b,ever since orchid quit drinking bottle eating us house home holy  girl still drinking milk though,neutral,noon,60-70,Nicaragua,6624554,120340,55,surprise
905ae17f24,walk  workabout  minsthink makes worse improves indoors tho,neutral,noon,21-30,Switzerland,8654622,39500,219,sadness
684b2dcea7,good one,positive,noon,60-70,Germany,83783942,348560,240,df
c4cad35b0f,comp deleted half apps,negative,night,70-100,Comoros,869601,1861,467,sadness
5552d4fffb,oh ladies suffer lol,neutral,morning,46-60,Rwanda,12952218,24670,525,df
9d605483af,mc john sim posit  yr passed softees stranded without warren tea tech spec kaching ,neutral,morning,0-20,Timor-Leste,1318445,14870,89,df
20290b6985,thats gorgeous ill check new pics,positive,noon,60-70,Denmark,5792202,42430,137,happiness
c2484278c9,mm films usually handled fuji oh met girl san diego kwento soon miss youuu,negative,night,70-100,Sierra Leone,7976983,72180,111,happiness
51f650a1a9,glad liked it hes done loads arrangements one could find blip,positive,morning,46-60,Dominica,71986,750,96,happiness
54477f9f5c,melissa_leah car wont start,negative,morning,46-60,Ireland,4937786,68890,72,sadness
9c52e5ba66, love days school one friday,positive,night,70-100,Pakistan,220892340,770880,287,happiness
4e93939f99, weekend standby duty,neutral,noon,60-70,Libya,6871292,1759540,4,df
34b20a06ef,awoooogahhhhhh heheee hope get decently priced breakfast real quick david,positive,night,31-45,Senegal,16743927,192530,87,happiness
66095230ee,spending qt hubby,positive,night,31-45,United Kingdom,67886011,241930,281,happiness
be266a8cef,huh ill try for reason try,neutral,noon,60-70,Fiji,896445,18270,49,df
0435d42f80,mad hell someone stole pink  black leapord print pumps wanted wear today god glory hell bless abundantly,negative,night,31-45,Mexico,128932753,1943950,66,anger
54fb6ac46e,kisses screwed ill raggy old cat woman ha im pretty sure,negative,noon,60-70,Samoa,198414,2830,70,happiness
aff624f133,thanx tom love u  great day,positive,morning,0-20,Vanuatu,307145,12200,25,happiness
0ba8d6cdb3,actually planning working  wth alas meetings kaiboshed plan,neutral,morning,46-60,Kazakhstan,18776707,2699700,7,df
4633886fcf,side  seat loner please starbucks there,neutral,morning,0-20,Egypt,102334404,995450,103,sadness
4ce03d596c,want travel little,neutral,noon,21-30,Grenada,112523,340,331,happiness
fff190b4af,burden abit fail lunch dan,negative,night,31-45,Ecuador,17643054,248360,71,sadness
bc6cc9565c,still raining bayi forget sunshine looks like ,negative,night,31-45,Pakistan,220892340,770880,287,sadness
26702e60d9,dream u like,negative,night,31-45,South Africa,59308690,1213090,49,sadness
99f9b82224,happy mothers day moms,positive,morning,46-60,Norway,5421241,365000,15,happiness
03a3f63189,fee pain lady ga ga drive insane oh dear god songs head,negative,night,70-100,Madagascar,27691018,581795,48,fear
b2fa4959e7,stian lacroix bankrupt sad,negative,noon,60-70,Guinea-Bissau,1968001,28120,70,sadness
fc9b461812,good plan peg plus like sound money monday,positive,night,70-100,Zimbabwe,14862924,386850,38,happiness
9834c18bbd,waitin fall boy,neutral,noon,60-70,Angola,32866272,1246700,26,df
2a9765b7f9,give easily,negative,night,31-45,Gambia,2416668,10120,239,sadness
ce6a3a4f2f,standing ovation wieters nobody sitting down insane hit double play though,positive,noon,60-70,Armenia,2963243,28470,104,df
b3edc4f9bb,stay away home since part india dnt hav gud wireless internet im ,negative,night,31-45,Thailand,69799978,510890,137,sadness
ad6c3de0ae,saying goodbye something familiar never becomes familiar,negative,night,70-100,Croatia,4105267,55960,73,sadness
cb485c99a5,starting get sad,negative,night,31-45,Ghana,31072940,227540,137,sadness
4c2e5f9b2c,hi bruce trying eat healthy kinda scary read eat that maggots rat hair food,neutral,night,31-45,Namibia,2540905,823000,3,fear
b77945b86e,whaa really should   definitely optional though liked them im also crazy,positive,morning,46-60,Nauru,10824,20,541,df
3932877e2b,dammit passes still work,negative,morning,46-60,Dominica,71986,750,96,anger
4c8908e55c,more,negative,noon,21-30,Tuvalu,11792,30,393,df
63a116ae1b,see  sec clip new moon trailer etonlinecom check out big tease though,negative,morning,0-20,Austria,9006398,82400,109,surprise
9352776c41,today longest day ever going sleep beach bound tomorrow good night twitter,neutral,morning,46-60,Bosnia and Herzegovina,3280819,51000,64,disgust
f36ca75512,ashlie thank you made feel little better,positive,noon,21-30,Fiji,896445,18270,49,happiness
32c20a8817,ill guess see everyone weekend gunna major tweet cravings entire time,neutral,morning,0-20,Bahrain,1701575,760,2239,sadness
95410148bf,little beetle feeling love searches bring zilch bar  peeps appear funny ,positive,night,31-45,Suriname,586632,156000,4,sadness
a0e2fdc0e2,june th sat,neutral,night,31-45,Guatemala,17915568,107160,167,df
8d1413e0fa,negghead mix air ,neutral,morning,0-20,Rwanda,12952218,24670,525,df
3eab4d3d25,_joyner cant even tell me  done professionally  ,negative,night,31-45,United Kingdom,67886011,241930,281,anger
b7593875b9,hurts breathe again why,negative,morning,0-20,Nauru,10824,20,541,fear
c6d0332935,aww  okwe ended getting later expected didnt goi would called able to c u n austin,neutral,morning,0-20,Yemen,29825964,527970,56,sadness
69ddcd6dfb,hahah love them,positive,morning,46-60,Singapore,5850342,700,8358,happiness
af36799256,must insist write essays twitter way   characters,neutral,morning,0-20,United States of America,331002651,9147420,36,df
822f5140fb,neither could i looked ebay like  euro two doubt parents would fork amount,negative,night,31-45,Equatorial Guinea,1402985,28050,50,sadness
990cdeae87,want see david cook,positive,morning,46-60,Mali,20250833,1220190,17,happiness
023a512e52,hahha drugs though,neutral,morning,0-20,Congo (Congo-Brazzaville),5518087,342000,16,df
fe0573baea,love polaroid  shame make film anymore,neutral,night,70-100,Zimbabwe,14862924,386850,38,sadness
0c640602c2,spend weekendto spend weekendthat hte question mind,negative,noon,60-70,Chad,16425864,1259200,13,df
6a5ec5682e,ready dc tomorrow photo trippin,neutral,noon,60-70,Lebanon,6825445,10230,667,happiness
04510889b6,_kill_boy oh sorry getting replies nothing you yes know nirvana,negative,night,70-100,Liechtenstein,38128,160,238,df
a0fc51cb4d,weekend cuzzo vivi cant stand leave  weeks,negative,morning,0-20,Mozambique,31255435,786380,40,sadness
c8f8d43d40,balance  unfortunately havent able find card limit high enough transfer whole thing,negative,noon,60-70,Romania,19237691,230170,84,sadness
2f4647bf36,sadly robot songs library,negative,morning,0-20,Dominica,71986,750,96,sadness
052fbbb0a9,sat alone whilst jay plays phone,neutral,night,31-45,Cabo Verde,555987,4030,138,sadness
2fbae49319,f hours guess sleepin living room,neutral,noon,60-70,Israel,8655535,21640,400,df
060ea6c6c8,ok super bored guess one else,negative,noon,60-70,Somalia,15893222,627340,25,sadness
4bc2de8a68,sadly awake wondering contact info fun folks hung shop yay b miss guys,negative,noon,21-30,Zambia,18383955,743390,25,sadness
68503bdeea,love stereosound hq headphones,positive,morning,0-20,Argentina,45195774,2736690,17,happiness
397392f0d9,word,neutral,night,31-45,Algeria,43851044,2381740,18,df
6e3eca51b2,kind like birthday days long,neutral,night,70-100,Comoros,869601,1861,467,df
a3527a3ccc,j sorry bad night hopefully workout updates gave little humor night,neutral,morning,46-60,Solomon Islands,686884,28000,25,sadness
28b70015d2,energy steadily increasing thankfully cough going away,neutral,night,70-100,Uzbekistan,33469203,425400,79,sadness
20771a6d9a,anyone looking vinylclad playset  year mfr warranty  slides  swing slots rock climbing wall more amish built,neutral,morning,46-60,Congo (Congo-Brazzaville),5518087,342000,16,happiness
6beb4754f0,agree everybody wouldve excited goes ohhhh nooooo ms screws again,neutral,morning,46-60,Cuba,11326616,106440,106,sadness
89e4eed832,one yet hopefully ill ponying one soon  definitely hitting wall,neutral,night,70-100,Uzbekistan,33469203,425400,79,sadness
9ccb1bcd26,ha thats good thats love boys cos never stir hatred mighty red scum everyone loves city,positive,noon,60-70,Fiji,896445,18270,49,happiness
2ef487bd7d,last night long drive slept really well time dinos wasstraat,positive,noon,60-70,Somalia,15893222,627340,25,happiness
da769e9be5,dear god hope save it ssibleprojectcom,positive,morning,0-20,Norway,5421241,365000,15,fear
bc21202d07,soooo sleepy gotta finish game lol gettt cavs whoop whoop,neutral,night,70-100,Maldives,540544,300,1802,happiness
f172eab046,used ozzy osbourne pillow mom threw out miss thing,negative,night,70-100,Tonga,105695,720,147,sadness
e41ae07da9,twitter useful reminds people forgot ask given day also excellent inspiration,negative,night,31-45,Algeria,43851044,2381740,18,happiness
9f85050671,waiting long line chickfila,neutral,morning,0-20,Benin,12123200,112760,108,sadness
d5ebd5f984,win  sigh rakeem,positive,night,31-45,Australia,25499884,7682300,3,df
6bd4a0b146,heading home sacramento continue writing windows server  r unleashed book weekend sigh windows,neutral,night,31-45,Maldives,540544,300,1802,df
0d85e6d515,done disneyland kids knocked out stopped hotel bar grabbed grey goose  tonic way uppeace,positive,night,31-45,Lesotho,2142249,30360,71,happiness
325f5384f6,mcdonalds make pineapple pies,neutral,night,31-45,Tonga,105695,720,147,sadness
9321f3b74b,welcome,positive,noon,60-70,Fiji,896445,18270,49,df
d8867e4d4e,im posh enough read tatler,neutral,noon,60-70,Sudan,43849260,1765048,25,sadness
b333707153,also proof number  life  imaginary boyfriend named vince sad friends encourage so,negative,night,70-100,Saint Lucia,183627,610,301,sadness
ae46261e69,confused do,neutral,night,70-100,Mexico,128932753,1943950,66,df
4bf8205ece,hey sorry late replybut plan posting facebook twitpic,negative,night,70-100,Maldives,540544,300,1802,df
2a7ced36f3,last song american rejects amazing song,positive,night,31-45,Turkey,84339067,770000,110,happiness
f87ca95b1d,joe put new bulb spotlight,neutral,morning,0-20,Georgia,3989167,69490,57,happiness
7a863bc462,watched wolverine yesterday  spur moment kinda thing awesome proud south african director,positive,noon,60-70,Somalia,15893222,627340,25,happiness
21262aff48,thanks hoping allergies nasty flu,positive,noon,21-30,North Korea,25778816,120410,214,fear
1608eddffc,ok sister going camping im mad work tomorrow fun,neutral,night,70-100,San Marino,33931,60,566,anger
cc6aa5d2b3,stamford,neutral,noon,21-30,Kyrgyzstan,6524195,191800,34,df
b74a9b6a6b,want wish happy mothers day two favorite moms world mom course sister happy moms day two,positive,night,31-45,Belize,397628,22810,17,happiness
80a43d94a8,hey jkwish evenlyn happy mothers day tomora mei great day gift tickets see yas ere oz,positive,night,70-100,Liechtenstein,38128,160,238,happiness
73e548424b,missed math trade,negative,morning,0-20,Cambodia,16718965,176520,95,sadness
97a44eeb2c,sure ill chat sec heres thread ,neutral,noon,21-30,Iran,83992949,1630000,52,df
2a20862961,raining past days actually sunny today well little while super cloudy,neutral,noon,21-30,Belgium,11589623,30280,383,sadness
95e24ff91a,ie nearing  according stats ff  adoption rate amazes,positive,morning,0-20,Sweden,10099265,410340,25,df
5eaa57f29f,gardening stuff ordered got returned sender damage need work get garden centre,negative,night,31-45,Slovenia,2078938,20140,103,sadness
811ac4eeca,one lane stop go trafffffffic suckssss almost wwork thanks  miinnnesota roads,negative,night,31-45,Bolivia,11673021,1083300,11,anger
165bcbe519,yes wanna come hang htown gurl u know whats up haha itll bangin gotta hang chick,positive,morning,0-20,Lithuania,2722289,62700,43,happiness
2ebb6270b5,yucky time bring vaccuum go war house always spider reason cool,negative,night,70-100,Marshall Islands,59190,180,329,disgust
f591304aec,thought saw atrak van turns alcohol team van,neutral,night,31-45,Iraq,40222493,434320,93,df
b7a6df7f96,leaving work  cant get soon enough hope everyone great day,positive,morning,0-20,Greece,10423054,128900,81,sadness
ee5b47b5a9,know exactly saying cool tapes better p,neutral,night,31-45,Panama,4314767,74340,58,df
ceee292ebc,gah im jittery upset absolutely reason,negative,noon,60-70,Myanmar (formerly Burma),54409800,653290,83,sadness
922777ecbd,soo happy today  going home bit sucks  meeting everyone aceness extreme lol cheesy p,neutral,morning,46-60,Bosnia and Herzegovina,3280819,51000,64,happiness
9694a4db08,yeahi guess dont get company weekend wants come hang out,neutral,noon,21-30,Costa Rica,5094118,51060,100,sadness
48a2a08d55,_pills punching bag here ive never touched it covered brothers sweat u use u want hehe,neutral,morning,0-20,South Korea,51269185,97230,527,disgust
e1120cc659,yeah replied meant take photo drink laaazy didnt x,neutral,morning,46-60,Micronesia,115023,700,164,sadness
e924fb4417,oh do bring soufflãâãâãâ½ home im full delicious one philly favs,positive,night,70-100,Vietnam,97338579,310070,314,happiness
e256f4abbd,aww typing beyond graveimpressive,positive,morning,0-20,Mauritania,4649658,1030700,5,df
17d1a66db4,kickboxing classes today pretty bummed still going work hard ,negative,noon,21-30,Holy See,801,0,2003,sadness
ef22d695fd,im u need vent,positive,night,31-45,Finland,5540720,304000,18,happiness
5a9e4ad38a,listening music super juniors korea like way sing dance hope someday meet them,positive,noon,60-70,Albania,2877797,27400,105,happiness
3ab87ba2c0,_dig late see missed great time donnys birthday remember call monday,neutral,noon,21-30,Costa Rica,5094118,51060,100,df
882d9426d0,_willhoit hoping ac fixed right you,positive,morning,0-20,Lithuania,2722289,62700,43,happiness
a8da7904ac,great date last nighttried find cdcaves daniel hilariously fun,positive,noon,60-70,Colombia,50882891,1109500,46,happiness
013854711a,thanks shir got caught commission get amazoncom gift certificates take one,positive,night,31-45,Bolivia,11673021,1083300,11,df
545b1b920b,well poop guitar lesson canceled today im sad hope son feels better soon tho,neutral,noon,60-70,Estonia,1326535,42390,31,sadness
a3c03380ec,courtney seems like cool chick  shes pretty,positive,morning,46-60,Qatar,2881053,11610,248,happiness
49d301ec0d,want leave secretly know australia twenty times better america,positive,night,70-100,Suriname,586632,156000,4,sadness
e17b606c9c,whoishonorsociety never wear pajama pants school ,neutral,noon,60-70,Albania,2877797,27400,105,disgust
6899e9aa17,waaa octo drive cant go,negative,noon,21-30,Chad,16425864,1259200,13,sadness
0e1dbb950b,babysitting hubby cam cam,neutral,noon,60-70,Slovakia,5459642,48088,114,df
d1983228a6,twitter spam oh,neutral,morning,46-60,Mozambique,31255435,786380,40,sadness
c675e8a554,oh yes happy star wars day may fourth you,positive,noon,21-30,Oman,5106626,309500,16,happiness
d55030a05e,best weekend ever xxxxxxxxxxxxxxxxxxxxxx,positive,night,31-45,Italy,60461826,294140,206,happiness
dd62e0b336,stomach hurts bad,negative,morning,46-60,Burundi,11890784,25680,463,sadness
cc73efff2b,song slap face  ,negative,noon,60-70,Palestine State,5101414,6020,847,df
e2f74fa54c,invited one beach short notice mean hell tell hrs before really,neutral,noon,21-30,Venezuela,28435940,882050,32,anger
40bd163bda,today going long day,neutral,noon,21-30,Romania,19237691,230170,84,sadness
b8a77cd14c,oks yes infact chatted earlier nbin well,neutral,night,31-45,Belize,397628,22810,17,df
e97f62830d, am wanna wake up shoo roommate shoo,neutral,morning,0-20,Micronesia,115023,700,164,sadness
2b6017f8f5,slowest train ever stops everywhere missed quick train minutes,negative,noon,21-30,Togo,8278724,54390,152,anger
2505a44c46,damnnn day came fast cherished moment,positive,morning,46-60,Mali,20250833,1220190,17,happiness
81e7d3acf4,wong,neutral,noon,21-30,Armenia,2963243,28470,104,df
5c83af1147,gourmet pizza  bleh pizza supposed greasy filthy cant eat pizza thats prepared chef,negative,noon,21-30,Libya,6871292,1759540,4,disgust
8d95271054, hi facebook  whats wrong  cant add photos,negative,morning,46-60,Saint Vincent and the Grenadines,110940,390,284,anger
85b7cf8a0f,uhh congrats two years anniversary,positive,night,31-45,Peru,32971854,1280000,26,df
cd1a90193c,happy mothers day,positive,night,70-100,Spain,46754778,498800,94,happiness
2bdb19ccd3,oh lovely  one thing mums great at sounds yummy makin hungry here lol p,positive,morning,0-20,Dominica,71986,750,96,happiness
b761b09fbd,finished exams almost moved halls leaving london tomorrow,neutral,night,70-100,Marshall Islands,59190,180,329,df
56437e0860,know exactly mean ive lost many friends feel,negative,night,31-45,Zimbabwe,14862924,386850,38,sadness
a26c1b566d,ive sent twitter invite poet friends im hoping come poetize would love  see poets poets,positive,noon,60-70,Mauritius,1271768,2030,626,happiness
aac0a4e7c6,eating funnel cake mag fest,neutral,morning,46-60,France,65273511,547557,119,df
b7aa227b03,worth it love free version iphone though,neutral,night,31-45,Guatemala,17915568,107160,167,df
9ca53f2fb2,okay man hook hand kinda freaking right now,negative,night,31-45,Equatorial Guinea,1402985,28050,50,fear
df398a774e,alrightim going get comp now go back ur party safe  fun,positive,morning,46-60,Singapore,5850342,700,8358,happiness
6117fbee73,oh  sucks,negative,noon,21-30,Azerbaijan,10139177,82658,123,sadness
f8b32c4484,wish were coming perth,neutral,night,70-100,Sierra Leone,7976983,72180,111,sadness
ef5c7bb3fa,unfortunetly wish mean sometimes like twice yr theyll party always,negative,morning,0-20,Mongolia,3278290,1553560,2,sadness
dba147c9f9,wanna say happy mothers day mommys,positive,night,31-45,Spain,46754778,498800,94,happiness
167fb8ca91,done thank,positive,noon,21-30,Israel,8655535,21640,400,df
a3da084834,must go strawberry fields,neutral,morning,46-60,Bahrain,1701575,760,2239,happiness
6eda368e36,happy mothers day euch allen,positive,night,31-45,Barbados,287375,430,668,happiness
a55fe11056,get grill taken care morning quick shot hands ask why,neutral,morning,46-60,Nauru,10824,20,541,df
3b50246867,link per daughter usmobilereuterscommobilemanyarticleprdturlscomarticlebigmoneyidus,neutral,morning,46-60,Liberia,5057681,96320,53,df
20f35978fb,im wit cha got home da reggae club wishin sexin somebody,positive,morning,0-20,Democratic Republic of the Congo,89561403,2267050,40,sadness
4e9f3e5a03,heard one songs amazing voice stunned,positive,noon,21-30,Libya,6871292,1759540,4,happiness
346ce6428b,bleargh never clean much house want work matter early wake up today sink laundry,negative,morning,0-20,Central African Republic,4829767,622980,8,sadness
1ca884fc2c,cnews bad expected could done better today great show,positive,morning,46-60,Egypt,102334404,995450,103,surprise
bcb1b79e4f,haha course thats favorite album time,positive,night,70-100,Iraq,40222493,434320,93,happiness
78bfe50327,gmorning rain rain rain  care much,negative,night,70-100,Portugal,10196709,91590,111,sadness
e5b5debcdc, great buy lunch get  pay cut next month,positive,night,31-45,Brazil,212559417,8358140,25,sadness
6b51e69aa9,u ,neutral,noon,60-70,Iran,83992949,1630000,52,df
930dd5f91d,work leave berlin  car late arrival,neutral,night,31-45,Uganda,45741007,199810,229,df
4213627c3c,still smell smoke kitchenfire,neutral,noon,60-70,Guinea-Bissau,1968001,28120,70,disgust
f023803c3e,got news,neutral,morning,0-20,Malawi,19129952,94280,203,df
558eca05f1,cant call im mexico know code,neutral,morning,0-20,Saint Vincent and the Grenadines,110940,390,284,sadness
04b6314652,ima say smudge start calling people given malicious action pulled night,negative,morning,0-20,Brunei,437479,5270,83,fear
5ee98dd6dc,definitely first time ive felt alive years super happy,positive,night,70-100,Monaco,39242,1,26337,happiness
200a6a20e1,im going cali like two weeks cal,neutral,noon,21-30,Bangladesh,164689383,130170,1265,happiness
e47fb0bfe5,stupid freshmen ruined theatre class get play warmup games rest school year,negative,noon,21-30,Mauritius,1271768,2030,626,anger
0da5b1c605,dead,negative,noon,21-30,Japan,126476461,364555,347,sadness
ef30751b05,thats sad,negative,noon,21-30,Botswana,2351627,566730,4,sadness
d32958f921,school finally test work yes im gunna miss alot ppl,negative,night,31-45,Namibia,2540905,823000,3,happiness
67e9b94dcf,boys girls lie awww santa real either,neutral,night,70-100,Tonga,105695,720,147,anger
fec7fab22d,gotta get hoursbooo gooodnight,neutral,morning,46-60,Micronesia,115023,700,164,sadness
f78d0594ce,bread oven room cleaned almost done things list today,neutral,night,31-45,Panama,4314767,74340,58,happiness
e4a8bc33d2,hope wishes come true someday,positive,morning,0-20,Cuba,11326616,106440,106,happiness
c6bf44e881,alas best offer small pony rowing boat,negative,night,31-45,Algeria,43851044,2381740,18,df
9c44566550,whin park swings victory mine right,positive,morning,0-20,Congo (Congo-Brazzaville),5518087,342000,16,happiness
4987bf323b,im trying fix it doesnt ahi dios mio u good lol,positive,morning,46-60,United States of America,331002651,9147420,36,sadness
e082b8f404,best friend comingexcited,positive,noon,21-30,Montenegro,628066,13450,47,happiness
8f2a36da4c,monday morning  lets whip code today,neutral,morning,46-60,China,1439323776,9388211,153,df
